2015/04/06 02:22:48 [router.go:845] [D] | GET        | /home                                    | 15.0009ms        | match      | /home                                    | 
2015/04/06 02:22:48 [router.go:845] [D] | GET        | /img/brand/1.png                         | 5.0002ms         | notmatch   | 
2015/04/06 02:22:48 [router.go:845] [D] | GET        | /img/brand/3.png                         | 2.0001ms         | notmatch   | 
2015/04/06 02:22:48 [router.go:845] [D] | GET        | /img/brand/2.png                         | 38.0021ms        | notmatch   | 
2015/04/06 02:22:48 [router.go:845] [D] | GET        | /img/brand/4.png                         | 83.0047ms        | notmatch   | 
2015/04/06 02:22:48 [router.go:845] [D] | GET        | /img/brand/1.png                         | 0                | notmatch   | 
2015/04/06 02:24:52 [router.go:845] [D] | GET        | /home                                    | 40.0023ms        | match      | /home                                    | 
2015/04/06 02:24:52 [staticfile.go:62] [W] GetFileAttributesEx html/brand/4.png: The system cannot find the file specified. 
2015/04/06 02:24:52 [staticfile.go:62] [W] GetFileAttributesEx html/brand/4.png: The system cannot find the file specified. 
2015/04/06 02:25:21 [router.go:845] [D] | GET        | /home                                    | 35.002ms         | match      | /home                                    | 
2015/04/06 02:31:25 [router.go:845] [D] | GET        | /home                                    | 38.0022ms        | match      | /home                                    | 
2015/04/06 02:41:46 [router.go:845] [D] | GET        | /home                                    | 98.0056ms        | match      | /home                                    | 
2015/04/06 02:45:53 [router.go:845] [D] | GET        | /home                                    | 85.0048ms        | match      | /home                                    | 
